name,dialog
Patrick, [through walkie-talkie] Go to your closet for a surprise. [SpongeBob slides down a room and stands up in front of his closet door]
SpongeBob," [through walkie-talkie] Okay, I'm at the closet."
Patrick, [through walkie-talkie] Listen carefully. What's pink and square at the same time?
SpongeBob," [through walkie-talkie] I don't know, Patrick. [opens the closet door, revealing Patrick wearing SpongeBob's clothes]"
Patrick, Patrick SquarePants!
SpongeBob," [deadpan] Pat, don't do that. [sits in a chair] I've got too much to worry about."
Patrick, What's the problem?
SpongeBob, I can't pass my boating exam. I've taken it 37...
Gary, Meow.
SpongeBob," ...uhh, 38 times. I know all the answers... [Patrick's square pants rip off] ...until I get behind the wheel. I just need something to help me think straight."
Patrick, Thinking straight is what I do. You drive and I'll do all the thinking for you. [takes SpongeBob's walkie-talkie]
SpongeBob, How are we going to do that? [Patrick puts a walkie-talkie into SpongeBob's head with the antenna coming out of the top]
Patrick," Come in, SpongeBob. Hello? Hello?"
SpongeBob," Hey! I can hear you in my head! This is great! While I'm taking the test, you can give me all the answers. [notices the antenna sticking out] Wait a minute, Patrick. Won't I look silly with this antenna coming out of my head? [Patrick puts a tall hat over the antenna. Next, we see a big telescope peeking out SpongeBob's upstairs window]"
Patrick," [through walkie-talkie] Pat to Sponge, Pat to Sponge, testing, testing. [looking through the telescope at SpongeBob] Testing, testing, testing, testing, testing, testing! [loudly] Testing! [screams] Test, test. Do you read?!"
SpongeBob," Sponge to Pat, I read you loud and clear, over."
Patrick," [through walkie-talkie] Got your apple ready? [SpongeBob shows an apple] Lucky undergarments? Hold on. Hold on. [focuses in on the underwear with the telescope to reveal the word lucky on the top of it] Bingo! Underwear, apple, and me. You're ready to get that license. Uh-oh, here comes Mrs. Puff! Act natural. [SpongeBob jumps out of the boat, then gets on the ground on all fours and starts chewing grass.]"
SpongeBob, [Moos like a cow]
Patrick," [through walkie-talkie] No, no, get in the boat! [SpongeBob jumps in the boat. An ambulance arrives with its siren on and drops off Mrs. Puff] Give her the apple. [SpongeBob gives her the apple]"
SpongeBob," Here you go, ma'am. [Mrs. Puff throws apple in her mouth and swallows]"
Puff, Let's get this over with. [takes a deep breath] What's the first thing you do? [puts hands and arms over head for protection]
SpongeBob, [starts to get scared] Uhh...
Patrick, [through walkie-talkie] Start the boat. [SpongeBob starts the boat. The engine starting up causes Mrs. Puff to go crazy]
SpongeBob, Mrs. Puff. Mrs. Puff!
Puff, Whoa-ho! Huh? What?
SpongeBob," It's okay, it's only the boat."
Puff, The boat? You started the boat?
SpongeBob, I... I think so.
Puff, Oh. Well... what's the second thing you do?
SpongeBob, 1924?
Patrick," [through walkie-talkie] No, no, put it in drive."
SpongeBob, Put it in drive?
Puff," Yes, yes, yes! [SpongeBob pushes lever down to drive] Put it in drive. Then what?"
SpongeBob, [lifts leg up] Floor it?
Puff, No! [screams] No!
Patrick," [through walkie-talkie] Freeze, mister! [SpongeBob stops] Big toe. [SpongeBob's big toe pops out of his shoe and gently pushes the accelerator down]"
Puff," Oh, gracious. Oh, gracious! Oh-oh. Ha-ha! Ah, we haven't crashed yet."
Patrick," [through walkie-talkie] Okay, you're coming to your first turn. [a giant wall with the word wall on it is shown and a left curve]"
Puff," Oh no, the first turn. Please, tell me you know what to do at the first turn!"
Patrick, [through walkie-talkie] Left. [SpongeBob turns left]
Puff, Oh!
Patrick, [through walkie-talkie] Right. [SpongeBob turns right]
Puff," Oh! My, this is splendid, SpongeBob. You're doing fine."
Montage," [SpongeBob stops at a stop sign and looks both ways before starting to drive again. Then drives around with his left arm out making a signal. Patrick still talking to SpongeBob through the walkie-talkie as SpongeBob drives over a big hill in the road. As Mrs. Puff writes a couple things on her clipboard, Patrick is putting on another pair of SquarePants. SpongeBob pulls back on the boat and the boat jumps in the air over a big anchor. Patrick finds SpongeBob's diary and begins to read and laugh at it as SpongeBob jumps off a ramp through a ring of fire. Fred is walking across the course but SpongeBob stops the boat and helps him walk across. He gets back in the boat as Patrick is eating out of SpongeBob's fridge. SpongeBob is sitting back and driving with his feet and driving upside down.]"
Puff," Splendid! Wonderful! [sign that reads finish line is just ahead] There's the finish line. It's unbelievable. You've shown the most spectacular improvement of any student I've ever seen. What's your secret? A little radio in your head? [everyone laughs] Oh, and under that hat is some kind of, uhh, antenna? [everyone laughs again] And some guy miles away from here is giving you all the answers? [everyone laughs a third time] Oh, yes, but that would be cheating."
Patrick, Cheating! [laughing hysterically]
SpongeBob, I'm cheating?! Mrs. Puff!
Puff," Yes, my star pupil?"
SpongeBob, I think I'm cheating.
Puff," What's that, dear? [SpongeBob takes a hold of Mrs. Puff]"
SpongeBob, I think I am cheating!
Puff, You've... you've let go of the wheel.
SpongeBob, I do have an antenna under my hat! [shows the antenna under his hat] There is a guy giving me all the answers! It's all true! [crying] I'm cheating! I'm cheating! I'm cheating!
Patrick," What?! [runs out of SpongeBob's house and back under his rock, crying]"
SpongeBob," I'm sorry, Mrs. Puff! I'm sorry!"
Puff," [panicking] The wheel, SpongeBob! The wheel..."
SpongeBob, Cheating... I'm a cheater! Cheater...
Puff," No, no, no! It's quite alright! You can cheat that way!"
SpongeBob, No... I'm cheating...!
Puff," At least, SpongeBob..."
SpongeBob, I'm cheating!
Puff, Cheat that way! That way!
SpongeBob," I'm a cheater, cheater, pumpkin eater!"
Puff, It's okay to cheat today!
SpongeBob, No...!
Puff, That way! That way! Cheat that way!
SpongeBob, Cheater...! [crashes offscreen head-on into the same lighthouse. Mrs. Puff inflates with a look of despair. The lighthouse falls yet again]
Puff," [deep voice] Oh, SpongeBob, why?"
SpongeBob," Mrs. Puff, I think I cheated."
Fred," My leg! [some time later, EMTs are wheeling a still-inflated Mrs. Puff away on a gurney]"
SpongeBob," Uhh, I'm sorry for letting you down again, Mrs. Puff."
Puff," [normal voice] It's okay, SpongeBob, you didn't mean it. Okay, boys, take me away. [EMTs shove Mrs. Puff into the ambulance]"
SpongeBob," Don't worry, Mrs. Puff. I'll try harder next semester. [Mrs. Puff cries as she is taken away by the ambulance] It'll be great! [walks away] Only now I don't even have my bike."
Gary, [with SpongeBob's unicycle] Meow.
SpongeBob," Gary! My bike! You found it! This sponge is still mobile! [rides away on his bike with Gary on his head] Alright, let's go surprise someone at the hospital!"
SpongeBob," Wake up, Gary."
Gary, [wakes up] Meow?
SpongeBob, We're moving today!
Gary, [quizzically] Meow?
SpongeBob, That's right! We're leaving home. We're going to become peasants! [puts on a hat and fake beard]
Gary, Meow.
SpongeBob," [takes away Gary's bowl] No more food. [gives Gary a plate with clams on it] Sorry, Gary. Peasants only eat mashed-up clam shells. [SpongeBob puts salt in the shells, and Gary starts crying] April Fools! [takes off the outfit and puts Gary's food bowl back onto the floor] There ya go, pal!"
Gary, Meow. [eats]
SpongeBob," [goes into the kitchen] Whew, I'm thirsty! [takes a big glass of lemonade out of the fridge] [deep male voice] This is an extreme thirst! [sets the lemonade down on the floor; bubble transition to him putting all the lemonade into a lot of small glasses with umbrellas]"
SpongeBob," [normal voice] Whew, I'm exhausted. I sure can't wait to drink all these drinks! April Fools! [holds up a mirror] To me! [laughs obnoxiously and walks outside and towards work. Squidward sees him]"
Squidward," What's he so happy about? [walks by the calendar and notices it's April Fools Day. He panics] April 1st?! [screams] April Fools Day is SpongeBob's favorite holiday! [puts a heating pad on his head and dials the number for the Krusty Krab] Mr. Krabs, I can't come in today. I caught something terrible."
Krabs, [over phone] What'd you catch?
Squidward, I caught sight of the calendar.
Krabs," Oh, hold on, Squidward, there's someone here to see you. He says he's from the Barnacle Bay Art Museum and he wants to honor you as artist of the month."
Squidward, I have arrived. [SpongeBob and Mr. Krabs laugh] What's so funny? Where's the art dealer?
Krabs, You just missed him.
SpongeBob," Yeah, but he told us to tell you..."
Squidward, Tell me what?
SpongeBob, [whispers into Squidward's ear] He told me to tell you... April Fools.
Squidward," [lays his hat on the table] Well, it's been nice working here. [he walks off] Thanks for everything, Mr. Krabs."
SpongeBob," Squidward, wait!"
Squidward," Just send my last check to the P.O. box, Mr. Krabs!"
SpongeBob," Wait, Squidward! [grabs Squidward's legs] It was just a joke! No more jokes on you today, I promise!"
Squidward, You do?
SpongeBob," Sure, there are lots of other willing participants. Right, Mr. Krabs?"
Squidward," Well, as long as it's not me."
Shell," Excuse me, could you tell me where the forks are?"
SpongeBob," They're right here, lady! [leads her to the utensils]"
Shell, [picks up a spoon] But this is a spoon.
SpongeBob, April Fools! [laughs; Squidward stares at SpongeBob and he runs away; bubble transition to SpongeBob behind the register; a customer comes up to him] Welcome to the Krusty Krab. How may I help you?
Nat," [raises up his left arm] Yeah, give me two large fries and a Jumbo Krabby Patty."
SpongeBob," [points at something] Hey, what's that?"
Nat," Well, I didn't see anything. [notices that SpongeBob is gone] Hey, where'd that other guy go?"
SpongeBob, April Fools! I'm right here!
Nat," [laughs] Hey, that was pretty good."
Squidward, What are you doing behind the counter?!
Tom," Excuse me, can I get a couple of ice cubes in here, please?"
SpongeBob, Sure! A couple of ice cubes coming up! [fills the cup with ice and comes back whistling] Here you go.
Tom," Thanks. [he takes a sip of his drink; SpongeBob titters and Tom looks at him, but SpongeBob stops before Tom turns around] Huh? [SpongeBob is silent, so Tom takes another sip of his drink; SpongeBob starts giggling again and then Tom turns around and looks at him, but SpongeBob stops before he turns around] Huh? [SpongeBob is silent, so Tom finishes his drink] Ah..."
SpongeBob," [laughs loudly and obnoxiously] April Fools! [Tom grabs SpongeBob by the collar, suddenly panicked]"
Tom, What did you do to my drink?!
SpongeBob, I... [giggles] I... [giggles]
Tom, You what?!
SpongeBob," You asked for a couple of ice cubes in your drink, and I only put in one! [laughs]"
Tom, I guess that is pretty funny. [laughs as he walks off] Yeah.
SpongeBob," [laughs so hard his tongue pops off] Hey, your shoes untied. [tongue looks down] April Fools! You're not wearing shoes! [laughs and hugs his tongue, which smiles. Then they laugh into the microphone; everyone hears it; in the kitchen, Squidward tries to mute the sound with tissues, but he can still hear it] April Fools! [Squidward drops a plate]"
Squidward, That's it! SpongeBob and his stupid pranks! I'm going to show him what a real prank is all about! [bubble transition to him squirting some mustard inside a rope circle then he chuckles and shows SpongeBob the mess]
SpongeBob," Oh, boy! Something for me to clean up! [starts cleaning it and Squidward is standing next to a rope which he is about to cut]"
Squidward, April Fools! [laughs as he cuts the rope which grabs SpongeBob]
SpongeBob, Whooaahh! [the rope sends him into some bags of flour. Squidward is laughing through all of this and rolls on the floor. Then SpongeBob is taken around a bar] Whoa! Blblblblblblbl... [screams as he is sent slamming face-first into the wall]
Customers," Oh, no!"
SpongeBob," Whoooaa! [Cut to Squidward cheerleading, laughing, and jumping into the air. Then SpongeBob smashes into the ceiling]"
Squidward," [runs and holds out his arms to catch SpongeBob] I'll catch you, SpongeBob! [he giggles to himself. SpongeBob screams as he plummets toward Squidward, who quickly sets out a garbage can in front of him, and SpongeBob falls into the goop in the can] Oops. [dumps SpongeBob, who is now the shape of the can, out of the garbage can] April Fools, you little sausage! [he laughs; SpongeBob sobs hysterically and runs out of the Krusty Krab] SpongeBob! I was just kidding! C'mon, c'mon. You guys know I was just kidding… Right?"
Wobbles," Aww, man, poor kid."
Shubie, That guy has definitely got some issues to work out. [The customers angrily glare at Squidward as they begin to leave]
fish, April Fools... jerk. [All the customers storm out the door in disgust as Squidward starts to look upset by their reaction]
Squidward," Wait, don't go!"
Man," Hey, you stink!"
Squidward," Wait, wait, wait, it was a joke! Uh-huh... [looks around at the mess he has made and winces, then he looks at Bubble Bass, who has a hole in his bottom due to the ""prank"" and Squidward starts to feel ashamed of himself] Why is it whenever I'm having fun, it's wrong? I didn't mean to make him cry. I guess this means I'd better tell SpongeBob I'm sor-eaach. [makes silly face] Huh? I guess this means I'd better apolo- [throat goes haywire] gii! This is gonna be tougher than I thought. [bubble transition to Squidward going to SpongeBob's pineapple; he knocks on SpongeBob's door] SpongeBob? Uh, SpongeBob, come out! I've got something to tell you! SpongeBob? [notices a Krusty Krab hat and goes over there to talk to the man who is wearing it] Uhh, I was thinking about today and uh… and it just seems that I may owe you some sort of… This isn't something I normally do, so, listen carefully SpongeBob, because I am about to tell you that I'm... What? [notices that the guy with the hat on is Patrick] Patrick?! What are you doing here?!"
Patrick, Digging.
Squidward, Why are you wearing that hat?
Patrick," Oh, I don't know. [takes off the hat]"
Squidward, [growls] Where's SpongeBob?
Patrick, He's in the house. He's impressed.
Squidward, With what?
Patrick," I don't know, but it must've been pretty good to make him cry like that."
Squidward," [shivers then goes back to SpongeBob's house] SpongeBob, SpongeBob, let me in there! [tries to turn the handle, but SpongeBob's arm comes from under the door and pulls it inside; Squidward grabs his clarinet] SpongeBob, you'd better let me in there! I don't want to have to use this! [plays clarinet horribly. SpongeBob opens the door]"
SpongeBob, What do you want?
Squidward," SpongeBob, I just want to say that I'm sorr-yyyy. [sticks out tongue while talking]"
SpongeBob, What?
Squidward, I'm trying to say I'm [turns into a donkey and starts braying] haw-hee-haw!
SpongeBob, What?!
Squidward," I'm just trying to say I'm... [voice muffled after his head explodes] There's gotta be an easier way to do this. [bubble transition to Squidward writing a note; he puts it in a bottle and rolls it to SpongeBob where he picks it up] Well, aren't you going to open it?"
SpongeBob, I can't. I don't have a bottle opener.
Squidward," Doh! [Squidward hands SpongeBob a can and Squidward drives to the other side of the road] SpongeBob, I'm... [whispers into the can, then puts the can up to his ear but hears some sort of noise; Patrick is flossing his teeth with the cord; Squidward growls and throws the binoculars down on the ground] SpongeBob, all I am trying to say is that I am... [waves tentacles in the air and bubbles form, puts a big bubble on his head and then talks] ...sorry. [pops the bubble] There you go."
SpongeBob, But I couldn't... [Squidward slams the door in his face]
Squidward," I don't care! I said it! My conscience is clear! [Starts to walk away, when an image of Patrick appears in the air]"
Patrick, Must've been pretty good to make him cry like that. [Squidward nervously continues walking and runs into a ghost image of a guy at the Krusty Krab]
Tom," April Fools... jerk. [Squidward frantically starts running again, but this time his mother appears]"
Tentacles, [male voice] You stink!
Squidward," Mother?! [runs back to SpongeBob's house to apologize] All right, all right! I'm sorry, I'm sorry! I admit it, I'm sorry! I didn't mean to hurt you, in fact, SpongeBob, I like you! I like living next door, I like hearing your foghorn alarm in the morning and your high-pitched giggling at night! I also like Gary, Patrick, Sandy, Mr. Krabs, and all the other people I'm forced to be in contact with! And, and, and, and... [SpongeBob opens the door slightly]"
SpongeBob, Squidward! Is all that true?
Squidward," Yes, yes, SpongeBob. Yes, it's all true."
SpongeBob, Even the part about the lima beans and the car chase?
Squidward," What the...? Yes, yes, whatever! But you have to promise not to tell anybody."
SpongeBob, I promise.
Squidward," Really? [SpongeBob opens the door all the way, revealing the citizens of Bikini Bottom inside]"
Everyone, April Fools!
Squidward," [eye twitches] April Fools! You're right, April Fools! I just fooled you all! [laughs hysterically while going back into his house]"
SpongeBob, What would we do without Squidward?
Narrator," Ah, Goo Lagoon, a luxurious oasis of sand and sea. [scene cuts to SpongeBob and Sandy next to a tent]"
Sandy," Shee-oot, SpongeBob. How are we gonna go swimming when you're in a shirt and tie?"
SpongeBob," Ah, yes. How foolish of me. [cackles] Allow me to remedy said situation right now. I will just use this changing tent here to change into my bathing suit. [goes into the tent, then pokes his head out] And I won't do anything else. [puts his head back in]"
Sandy, SpongeBob's acting jumpier than a rattlesnake in a pickle barrel. Wait... what?
SpongeBob," [laughs] Oh, I'll be changing, alright, but not into a bathing suit. Wait until Sandy sees that I brought my karate gear! Hi-yah! [puts on his headgear that was in the bag] Hi-yah! [puts on his karate gloves that was in the bag] Sandy won't beat me this time, because I've got the elements on my side. The elements of surprise. Hi-yah! [kicks the bag]"
Sandy," SpongeBob, are you ready?"
SpongeBob," Yes, Sandy, I most certainly am ready! [softly] Ready to get it on. [jumps out of the tent towards Sandy] Hi..."
Sandy," Hi-yah! [kicks SpongeBob in his mouth] Look, SpongeBob, we both brought our karate gear."
SpongeBob," [muffled laughter] Great minds think alike, I suppose."
Sandy," Hi-yah! [karate chops him into the air. SpongeBob crashes into the ground, followed by his pants, socks, and shoes. He stands up with the clothing on his head and feet in some food]"
SpongeBob," I may be down, but I'm not out! [looks down at his wiggly toes, which are in some potato salad at a family picnic]"
Tom," Way to go, buddy. It took us three days to make that potato salad. [SpongeBob jumps away] Three days!"
SpongeBob, [jumps into an empty area] Hi-yah! Sandy?
Sandy," Oh, I'm Sandy, alright. [her arms come out of the ground and squish SpongeBob's face] I'm very Sandy. [kicks SpongeBob into the air] Hi-yah!"
SpongeBob," Oh, I get it. She's ""Sandy."" That's her name; she's also covered in... yes! [flies out of the water then back into it. Scene cuts to Sandy talking to an ice cream vendor]"
Sandy," Back in Texas, we call ice cream ""frozen cow juice"". Excuse me for a sec. Hi-yah! [slaps SpongeBob in the face with her karate glove] Thank you."
Vendor," No, no, thank you."
Sandy," Hi-yah! [slaps SpongeBob again, sending him into the air and flying into a strong fish that is waiting in line]"
Sandy," Hey, what's everybody waiting in line for?"
SpongeBob, Ew. [a fish is screaming while flying out of the Salty Spitoon]
Sandy," Looks like a rip-snortin' good time, SpongeBob!"
SpongeBob," Yeah, let's go in."
Reg, [lets a fish walk in] Go ahead. [line moves up] Welcome to the Salty Spitoon. How tough are ya?
Reg," Yeah, so?"
Reg," Uhh, right this way, sorry to keep you waiting. [tough fish walks in. Sandy walks up to Reg] Welcome to the Salty Spitoon. How tough are ya?"
Sandy," How tough am I? [rips off one of his tattoos that says ""MOM"" and puts it upside down back where it was. Reg screams in pain when Sandy rips off the tattoo]"
SpongeBob, Wow.
Sandy, Got any more tattoos? [Reg covers the upside down tattoo with his arms]
Reg," Uhh, that won't be necessary. Go ahead."
Sandy," Thanks. See ya inside, SpongeBob! [walks in]"
Reg, How tough are ya?
SpongeBob, How tough am I? You got a new bottle of ketchup?
Reg, Sure. [hands the bottle of ketchup to SpongeBob]
SpongeBob," It's on! [strains to open it, but he can't, takes a few breathes, tries to open the ketchup bottle again, but same result, then gives up] If I could just run this under some hot water..."
Reg," Get outta here. This place is too tough for you, little man."
SpongeBob," Too tough for me? That's downright ridiculous. I'll have you know I stubbed my toe last week while watering my spice garden, and I only cried for twenty minutes."
Reg," Listen, kid. I think you'd be more comfortable over at that place. [points to the building across the street]"
SpongeBob, Weenie Hut Jr's? Are you saying I belong in Weenie Hut Jr's?
Reg," Uhh. Oh, no, sorry, I was actually pointing at the place next to it. [points to another building]"
SpongeBob, Super Weenie Hut Jr's?
Reg, Yeah. Unless you think you're tough enough to fight me. [Scene cuts to SpongeBob sitting in a seat at Weenie Hut Jr's]
SpongeBob," [snorts] What weenies. Oh, brother."
Robot," [robotic voice] Would you care for another diet cola with a lemon twist, weenie?"
SpongeBob, What? But I'm not a weenie! [the robot scans SpongeBob with one of its scanners]
Robot," I'm sorry, sir, but my sensors indicate that you are indeed a weenie. [computer beeps and shows a picture of a hot dog weenie with the word ""YES"" below it]"
SpongeBob, That's impossible! [the two nerds look at him. He runs off]
Robot, You can't hide what's inside!
SpongeBob," [runs over to Reg] I demand entrance into your club on the grounds that I am not a weenie! [a strong, orange fish walks up]"
Reg," You were sayin'? [to orange fish] Go ahead, buddy."
SpongeBob," So, your name's Reg?"
Reg, [throws SpongeBob aside] Would you get outta here?
SpongeBob," Mark my words, Reg. I will get into the Salty Spitoon! I will! [runs off. Scene cuts to Weenie Hut Jr's]"
Robot, I believe he said something about going to the wig store.
Drifter," What's shakin', my man?"
Reg," Not much. Say, haven't I seen you before?"
Drifter," Doubt it — I'm a drifter — just blew into town. Heard your club was pretty tough, thought I'd check it out."
Reg," Nice try, kid. I know it's you."
Drifter," What're you talking about? [Reg pulls Drifter's hair, but it is still attached to his head, it's real hair]"
Reg, Aha! [the hair does not come off. SpongeBob walks up with a clown wig on]
SpongeBob," Hey, everybody, what's goin' on? [the Drifter gets angry as Reg tries to redo his hair, but can't do it]"
Reg," Ah, you can go in. Sorry about that. [Drifter angrily walks in] Well, what do you want?"
SpongeBob," I'd like to gain entrance to your social club, please. I believe my hairdo is in order. [Reg takes the wig off SpongeBob's head. SpongeBob laughs nervously] So, uh, where do you stand on the whole bald vs. shaved debate? [a big, green fish walks up with a tattoo of a seahorse on his right arm]"
Reg," Alright, now it's a party! Oh, yeah, check out the new ink."
Reg," [chuckles] Yeah. Hey, what about that one? [the big, green fish looks at his left arm that has a SpongeBob tattoo on it]"
Reg, Can you make it dance?
SpongeBob," Ha-cha-cha-cha, ha-cha-cha-cha, ha-chattity-chattity-cha!"
Reg," Hmmm, wait a minute. [rips SpongeBob off his arm] Go ahead in. [the tattoo fish walks in, rubbing his left arm]"
Reg," Nice try, little man. [throws SpongeBob to the back of the line behind two strong fish]"
Reg," Hold it, you two! That's enough, you're both plenty tough, go ahead in."
SpongeBob," Hey, what about me? I was in that scrap. [He dusts his clothes using his hands]"
Reg," [chortles] I saw you runnin'. When you get in a real fight, then we'll talk."
SpongeBob," Well, then, I guess it's time to take it up a notch. [spins his legs, then his hands, and then cracks his fingers, but they are snapped in half. The scene cuts out to SpongeBob's broken fingers. He starts to cry and runs off. Scene cuts to SpongeBob with his fingers in a bowl of ice cream, whimpering]"
Robot," Care for another sundae, weenie?"
SpongeBob, [jumps angrily] I am not a weenie!
SpongeBob, My friends don't hang out at Weenie Hut Jr's. [scroll over to Patrick in the seat next to him]
Patrick," You tell 'em, SpongeBob! [sips his drink]"
SpongeBob," Patrick, what're you doing here?"
Patrick, I'm always here on Double Weenie Wednesdays.
Patrick," Oh, so it's Mega Weenie Monday?"
Patrick, Barnacles!
SpongeBob, I don't have time for this! I've got to go pick a fight with a muscular stranger! It's the only way of getting into the Salty Spitoon! [begins to walks out]
Patrick," No, SpongeBob, you can't. It's too dangerous."
SpongeBob, I've got no choice.
Robot, I have a suggestion. Why not fake a fight?
Patrick," Hey, that's not a bad idea! You can call me a couple of bad names, we rumble, next thing you know, you're in the Salty Spitoon."
SpongeBob," Well, I guess I've got nothing to lose. Let's do it!"
Patrick, Yeah! [both run out]
Robot," I am a robot, not a miracle worker. [scene cuts to SpongeBob walking up to Reg]"
SpongeBob," Afternoon, Reg."
Reg," Whoa, whoa, little man. You still can't go in."
SpongeBob," Well, that makes me pretty mad."
Reg," Oh, yeah?"
SpongeBob, Yeah. I might have to beat someone up just to get rid of all this blind fury.
Reg, [sarcastically] Wow.
SpongeBob," Yeah, I feel pretty sorry for the next guy who looks at me funny."
Reg, Hmmm... what about that guy? [points to a large muscular fish behind him]
SpongeBob," [gasps and stammers] I, uh... [laughs] don't be silly. He's not botherin' anybody. I mean, not like... that guy! [points to Patrick]"
Patrick," Who, me? [SpongeBob walks up to Patrick]"
SpongeBob," Yeah, you. Standing there all smiling and whatnot. Somebody oughta teach you some manners!"
Patrick," Okay, but I must warn you. I happen to be a world championship... uhh... [looks at his hand, which has writing on it] ...kickboxer. [winks and gives a thumbs-up to SpongeBob]"
SpongeBob," I don't care if you're the demon seed of Davy Jones! You're goin' down, Tubby! [Patrick starts to tear up]"
Patrick," Tubby? [Patrick's sadness is quickly replaced by fury and he turns red and snarls with rage] Grr! Nobody calls me Tubby! [angrily punches SpongeBob in the eye, leaving a black mark]"
SpongeBob," Wait, Patrick, you're supposed to let me win, remember?"
Patrick," Oh yeah. [invisible punches flying] No, please wait. [grunting as more invisible punches hit him and an elephant sound is heard when Patrick's head is hit. Patrick is being thrown into the air and on the ground, then given a wedgie] No, please, have mercy! [Patrick is kicked into the background]"
Reg, Wow! You destroyed that guy without even touchin' him. [Patrick is still getting beaten in the background]
SpongeBob, I did?
Reg," I never thought I'd say this, but go ahead in."
SpongeBob," Really? I can go in? Oh, my gosh, I never thought this moment would come! I, SpongeBob SquarePants, am tough enough to get into the Salty Spitoon! This is the happiest day of my life! [walks in as Reg smiles. Scene cuts to an ambulance driving down the street with SpongeBob in bandages and Sandy by his side] Sandy? [groans] What happened?"
Sandy, You ran inside and slipped on an ice cube. [ambulance arrives at the hospital. Scene cuts to Sandy wheeling SpongeBob on a gurney in front of the doctor]
Doctor, What happened?
SpongeBob, I slipped on an ice cube and got covered in boo-boos!
Doctor," Boo-boos, eh? Hmmm... I think you guys want that hospital. [points across the street to Weenie Hut General]"
SpongeBob, Weenie Hut General?!
Fran," Squidward, we love you!"
Squidward," Alright, alright. Time for another hideous day at work. Ahh, just hang in there, gorgeous. [Plays a few notes on his clarinet] Your star will shine at the clarinet recital tomorrow. [laughs]"
